Accession_OD,Pvalue_OD
Q9BS40,0.305571587
Q9BTY2,0.684916339
Q9BW61,0.357988835
Q9BWD1,0.238155547
Q9BWP8,0.647292285
Q9BXJ4,0.436427189
Q9BXR6,0.79670228
Q9BY67,0.566307926
Q9BYE9,0.467104484
Q9BYH1,0.195763682
Q9BYK8,0.195763682
Q9C0B1,0.436427189
Q9C0H9,0.144422986
Q9GZP4,0.195763682
Q9GZT8,0.195763682
Q9GZX5,0.333249116
Q9GZX9,0.144422986
Q9H0W9,0.144422986
Q9H0X4,0.357988835
Q9H1D0,0.079407963
Q9H1E1,0.079407963
Q9H1U4,0.467104484
Q9H254,0.548255619
Q9H299,0.590413114
Q9H3S4,0.195763682
Q9H3W5,0.079407963
Q9H4A9,0.689010301
Q9H4B7,0.741813184
Q9H4G4,0.419266655
Q9H6X2,0.305571587
Q9H8J5,0.195763682
Q9H8L6,0.333249116
Q9H939,0.079407963
Q9HAT2,0.333249116
Q9HBB8,0.493844038
Q9HBI1,0.707861202
Q9HBR0,0.380321525
Q9HBW1,0.238155547
Q9HBW9,0.333249116
Q9HBX8,0.144422986
Q9HC38,0.400645254
Q9HC56,0.238155547
Q9HC84,0.195763682
Q9HCB6,0.400645254
Q9HCL0,0.357988835
Q9HCN6,0.274224549
Q9HCU0,0.452320533
Q9HDC9,0.630424222
Q9NNX6,0.144422986
Q9NP58,0.195763682
Q9NP78,0.467104484
Q9NPG4,0.238155547
Q9NPH3,0.856324144
Q9NPR2,0.436427189
Q9NPY3,0.680702389
Q9NQ38,0.400645254
Q9NQ79,0.806150831
Q9NQQ7,0.144422986
Q9NQS3,0.079407963
Q9NR71,0.238155547
Q9NRN5,0.079407963
Q9NS62,0.079407963
Q9NSC7,0.238155547
Q9NTN9,0.079407963
Q9NTU7,0.467104484
Q9NU22,0.079407963
Q9NUQ2,0.079407963
